,Superclass1,Superclass2,pathway,
PWY-7599,Biosynthesis,Secondary Metabolite Biosynthesis,anditomin biosynthesis,
PWY-7600,Biosynthesis,Secondary Metabolite Biosynthesis,peramine biosynthesis,
PWY-7601,Biosynthesis,Fatty Acid and Lipid Biosynthesis,arachidonate biosynthesis IV (8-detaturase),
PWY-7602,Biosynthesis,Fatty Acid and Lipid Biosynthesis,icosapentaenoate biosynthesis V (&Delta;8 desaturase),
PWY-7603,Biosynthesis,Secondary Metabolite Biosynthesis,stephacidin A biosynthesis,
PWY-7604,Biosynthesis,Secondary Metabolite Biosynthesis,notoamide C and D biosynthesis,
PWY-7605,Biosynthesis,Secondary Metabolite Biosynthesis,roquefortine C biosynthesis,
PWY-7606,Biosynthesis,Fatty Acid and Lipid Biosynthesis,docosahexaenoate biosynthesis III (mammals),
PWY-7607,Biosynthesis,Secondary Metabolite Biosynthesis,meleagrin biosynthesis,
PWY-7608,Biosynthesis,Secondary Metabolite Biosynthesis,neoxaline biosynthesis,
PWY-7609,Biosynthesis,Secondary Metabolite Biosynthesis,"superpathway of roquefortine, meleagrin and neoxaline biosynthesis",
PWY-761,Biosynthesis,Secondary Metabolite Biosynthesis,rhizobactin 1021 biosynthesis,
PWY-7610,Biosynthesis,Carbohydrate Biosynthesis,GDP-6-deoxy-D-altro-heptose biosynthesis,
PWY-7612,Biosynthesis,Secondary Metabolite Biosynthesis,chaetoglobosin A biosynthesis,
PWY-7613,Biosynthesis,Carbohydrate Biosynthesis,GDP-6-deoxy-D-manno-heptose biosynthesis,
PWY-7614,Biosynthesis,Secondary Metabolite Biosynthesis,methiin metabolism,
PWY-7615,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)",
PWY-7616,Degradation/Utilization/Assimilation,Alcohol Degradation,methanol oxidation to carbon dioxide,
PWY-7618,Biosynthesis,Fatty Acid and Lipid Biosynthesis,ricinoleate biosynthesis,
PWY-7619,Biosynthesis,Fatty Acid and Lipid Biosynthesis,juniperonate biosynthesis,
PWY-762,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phospholipid desaturation,
PWY-7620,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,naphthalene degradation (anaerobic),
PWY-7621,Biosynthesis,Secondary Metabolite Biosynthesis,autoinducer CAI-1 biosynthesis,
PWY-7622,Biosynthesis,Carbohydrate Biosynthesis,UDP-galactofuranose biosynthesis,
PWY-7623,Biosynthesis,Secondary Metabolite Biosynthesis,astaxanthin dirhamnoside biosynthesis,
PWY-7624,Biosynthesis,Secondary Metabolite Biosynthesis,nystatin biosynthesis,
PWY-7625,Biosynthesis,Fatty Acid and Lipid Biosynthesis,phosphatidylinositol biosynthesis II (eukaryotes),
PWY-7626,Biosynthesis,Secondary Metabolite Biosynthesis,bacilysin biosynthesis,
PWY-7627,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"2,4,6-trinitrophenol and 2,4-dinitrophenol degradation",
PWY-7628,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,"2,4-dinitroanisole degradation",
PWY-7629,Biosynthesis,Secondary Metabolite Biosynthesis,yatein biosynthesis,
PWY-7630,Biosynthesis,Secondary Metabolite Biosynthesis,pluviatolide biosynthesis,
PWY-7631,Biosynthesis,Secondary Metabolite Biosynthesis,arctigenin and isoarctigenin biosynthesis,
PWY-7632,Biosynthesis,Secondary Metabolite Biosynthesis,hinokiresinol biosynthesis,
PWY-7633,Biosynthesis,Secondary Metabolite Biosynthesis,calycosin 7-O-glucoside biosynthesis,
PWY-7634,Biosynthesis,Fatty Acid and Lipid Biosynthesis,vernolate biosynthesis II,
PWY-7635,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,kievitone detoxification,
PWY-7636,Biosynthesis,Secondary Metabolite Biosynthesis,astaxanthin biosynthesis (flowering plants),
PWY-7637,Biosynthesis,Secondary Metabolite Biosynthesis,"2,2'-dihydroxyketocarotenoids biosynthesis",
PWY-7638,Biosynthesis,Secondary Metabolite Biosynthesis,echinenone and zeaxanthin biosynthesis (Synechocystis),
PWY-7639,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",bis(guanylyl molybdenum cofactor) biosynthesis,
PWY-7640,Degradation/Utilization/Assimilation,Hormone Degradation,neophaseic acid biosynthesis,
PWY-7641,Biosynthesis,Fatty Acid and Lipid Biosynthesis,5-hexynoate biosynthesis,
PWY-7642,Degradation/Utilization/Assimilation,Hormone Degradation,7'-hydroxyabscisate biosynthesis,
PWY-7643,Biosynthesis,Secondary Metabolite Biosynthesis,coniferyl alcohol 9-methyl ester biosynthesis,
PWY-7644,Degradation/Utilization/Assimilation,Carbohydrate Degradation,heparin degradation,
PWY-7645,Degradation/Utilization/Assimilation,Carbohydrate Degradation,hyaluronan degradation,
PWY-7646,Degradation/Utilization/Assimilation,Carbohydrate Degradation,dermatan sulfate degradation I (bacterial),
PWY-7647,Degradation/Utilization/Assimilation,Carbohydrate Degradation,ulvan degradation,
PWY-7648,Biosynthesis,Amino Acid Biosynthesis,4-methyl-proline biosynthesis,
PWY-7649,Biosynthesis,Amino Acid Biosynthesis,3-hydroxy-L-homotyrosine biosynthesis,
PWY-7650,Biosynthesis,Secondary Metabolite Biosynthesis,echinocandin B biosynthesis,
PWY-7651,Degradation/Utilization/Assimilation,Carbohydrate Degradation,heparan sulfate degradation,
PWY-7652,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,echinocandin B degradation,
PWY-7653,Biosynthesis,Secondary Metabolite Biosynthesis,griseofulvin biosynthesis,
PWY-7654,Biosynthesis,Secondary Metabolite Biosynthesis,"(8E,10E)-dodeca-8,10-dienol biosynthesis",
PWY-7655,Biosynthesis,Secondary Metabolite Biosynthesis,dechlorogriseofulvin biosynthesis,
PWY-7656,Biosynthesis,Secondary Metabolite Biosynthesis,Spodoptera littoralis pheromone biosynthesis,
PWY-7657,Biosynthesis,Carbohydrate Biosynthesis,dTDP-&beta;-L-digitoxose biosynthesis,
PWY-7658,Biosynthesis,Carbohydrate Biosynthesis,protein N-glycosylation (Methanococcus voltae),
PWY-7659,Biosynthesis,Secondary Metabolite Biosynthesis,viridicatumtoxin biosynthesis,
PWY-7660,Biosynthesis,Secondary Metabolite Biosynthesis,tryptoquialanine biosynthesis,
PWY-7661,Biosynthesis,Carbohydrate Biosynthesis,protein N-glycosylation (Haloferax volcanii),
PWY-7662,Degradation/Utilization/Assimilation,Carbohydrate Degradation,glycogen degradation III (via anhydrofructose),
PWY-7663,Biosynthesis,Fatty Acid and Lipid Biosynthesis,gondoate biosynthesis (anaerobic),
PWY-7664,Biosynthesis,Fatty Acid and Lipid Biosynthesis,oleate biosynthesis IV (anaerobic),
PWY-7665,Biosynthesis,Secondary Metabolite Biosynthesis,aureobasidin A biosynthesis,
PWY-7666,Biosynthesis,Fatty Acid and Lipid Biosynthesis,galactolipid biosynthesis II,
PWY-7667,Biosynthesis,Secondary Metabolite Biosynthesis,apicidin biosynthesis,
PWY-7668,Biosynthesis,Secondary Metabolite Biosynthesis,apicidin F biosynthesis,
PWY-7669,Biosynthesis,Secondary Metabolite Biosynthesis,equisetin biosynthesis,
PWY-7670,Biosynthesis,Secondary Metabolite Biosynthesis,fusaridione A biosynthesis,
PWY-7671,Biosynthesis,Secondary Metabolite Biosynthesis,saframycin A biosynthesis,
PWY-7672,Biosynthesis,Secondary Metabolite Biosynthesis,fusaric acid biosynthesis,
PWY-7673,Biosynthesis,Secondary Metabolite Biosynthesis,fusarin C biosynthesis,
PWY-7674,Biosynthesis,Carbohydrate Biosynthesis,"CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis",
PWY-7675,Biosynthesis,Cell Structure Biosynthesis,Kdo transfer to lipid IVA II,
PWY-7676,Biosynthesis,Cell Structure Biosynthesis,Kdo8N transfer to lipid IVA,
PWY-7677,Biosynthesis,Secondary Metabolite Biosynthesis,rosamicin biosynthesis,
PWY-7688,Biosynthesis,Carbohydrates Biosynthesis,dTDP-sugar biosynthesis,
PWY-7761,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NAD Biosynthesis,
PWY-782,Biosynthesis,Fatty Acid and Lipid Biosynthesis,glycolipid desaturation,
PWY-7851,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",coenzyme A biosynthesis I,
PWY-7858,Biosynthesis,Fatty Acid and Lipid Biosynthesis,(5Z)-dodec-5-enoate biosynthesis,
PWY-7790,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,UMP Biosynthesis II,
PWY-7791,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,UMP Biosynthesis III,
PWY-7953,Biosynthesis,Cell Structure Biosynthesis,Cell Wall Biosynthesis,
PWY-7977,Biosynthesis,Amino Acid Biosynthesis,L-methionin Biosynthesis,
PWY-8004,Degradation/Utilization/Assimilation,Carbohydrate Degradation,Sugar Degradation,
PWY-801,Activation/Inactivation/Interconversion,Interconversions,L-homocysteine and L-cysteine interconversion,
PWY-8073,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Lipid IVA Biosynthesis,
PWY-804,Degradation/Utilization/Assimilation,Carboxylate Degradation,glycolate degradation II,
PWY-8178,Generation of Precursor Metabolites and Energy,Pentose Phosphate Pathways,,
PWY-8187,Degradation/Utilization/Assimilation,Amino Acid Degradation,L-arginine Degradation,
PWY-81,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,toluene degradation to benzoyl-CoA (anaerobic),
PWY-82,Biosynthesis,Carbohydrate Biosynthesis,UDP-L-arabinose biosynthesis II (from L-arabinose),
PWY-821,Biosynthesis,Amino Acid Biosynthesis,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),
PWY-822,Biosynthesis,Carbohydrate Biosynthesis,fructan biosynthesis,
PWY-83,Biosynthesis,Secondary Metabolite Biosynthesis,monolignol glucosides biosynthesis,
PWY-84,Biosynthesis,Secondary Metabolite Biosynthesis,resveratrol biosynthesis,
PWY-841,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,superpathway of purine nucleotides de novo biosynthesis I,
PWY-842,Degradation/Utilization/Assimilation,Carbohydrate Degradation,starch degradation I,
PWY-861,Biosynthesis,Secondary Metabolite Biosynthesis,dhurrin biosynthesis,
PWY-862,Degradation/Utilization/Assimilation,Carbohydrate Degradation,fructan degradation,
PWY-881,Biosynthesis,Carbohydrate Biosynthesis,trehalose biosynthesis II,
PWY-882,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",L-ascorbate biosynthesis I (L-galactose pathway),
PWY-922,Biosynthesis,Secondary Metabolite Biosynthesis,mevalonate pathway I,
PWY-981,Biosynthesis,Aromatic Compound Biosynthesis,salicylate biosynthesis II,
PWY0-1021,Biosynthesis,Amino Acid Biosynthesis,L-alanine biosynthesis III,
PWY0-1061,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-alanine biosynthesis,
PWY0-1182,Degradation/Utilization/Assimilation,Carbohydrate Degradation,trehalose degradation II (trehalase),
PWY0-1221,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,putrescine degradation II,
PWY0-1241,Biosynthesis,Carbohydrate Biosynthesis,ADP-L-glycero-&beta;-D-manno-heptose biosynthesis,
PWY0-1261,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,anhydromuropeptides recycling,
PWY0-1264,Biosynthesis,Fatty Acid and Lipid Biosynthesis,biotin-carboxyl carrier protein assembly,
PWY0-1275,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",lipoate biosynthesis and incorporation II,
PWY0-1277,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,
PWY0-1280,Degradation/Utilization/Assimilation,Alcohol Degradation,ethylene glycol degradation,
PWY0-1295,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,pyrimidine ribonucleosides degradation,
PWY0-1296,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,purine ribonucleosides degradation,
PWY0-1297,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,superpathway of purine deoxyribonucleosides degradation,
PWY0-1298,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,superpathway of pyrimidine deoxyribonucleosides degradation,
PWY0-1299,Detoxification,Acid Resistance,arginine dependent acid resistance,
PWY0-1300,Degradation/Utilization/Assimilation,Carbohydrate Degradation,2-O-&alpha;-mannosyl-D-glycerate degradation,
PWY0-1301,Degradation/Utilization/Assimilation,Carbohydrate Degradation,melibiose degradation,
PWY0-1303,Biosynthesis,Amine and Polyamine Biosynthesis,aminopropylcadaverine biosynthesis,
PWY0-1305,Degradation/Utilization/Assimilation,Amino Acid Degradation,glutamate dependent acid resistance,
PWY0-1306,Degradation/Utilization/Assimilation,Carboxylate Degradation,L-galactonate degradation,
PWY0-1309,Degradation/Utilization/Assimilation,Carbohydrate Degradation,chitobiose degradation,
PWY0-1312,Degradation/Utilization/Assimilation,Carboxylate Degradation,acetate formation from acetyl-CoA I,
PWY0-1313,Degradation/Utilization/Assimilation,Carboxylate Degradation,acetate conversion to acetyl-CoA,
PWY0-1314,Degradation/Utilization/Assimilation,Carbohydrate Degradation,fructose degradation,
PWY0-1315,Degradation/Utilization/Assimilation,Aldehyde Degradation,L-lactaldehyde degradation (anaerobic),
PWY0-1317,Degradation/Utilization/Assimilation,Aldehyde Degradation,L-lactaldehyde degradation (aerobic),
PWY0-1319,Biosynthesis,Fatty Acid and Lipid Biosynthesis,CDP-diacylglycerol biosynthesis II,
PWY0-1321,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrate reduction III (dissimilatory),
PWY0-1324,Degradation/Utilization/Assimilation,Carbohydrate Degradation,N-acetylneuraminate and N-acetylmannosamine degradation I,
PWY0-1325,Biosynthesis,Amino Acid Biosynthesis,superpathway of L-asparagine biosynthesis,
PWY0-1329,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,succinate to cytochrome bo oxidase electron transfer,
PWY0-1334,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,NADH to cytochrome bd oxidase electron transfer I,
PWY0-1335,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,NADH to cytochrome bo oxidase electron transfer I,
PWY0-1336,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,NADH to fumarate electron transfer,
PWY0-1337,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,oleate &beta;-oxidation,
PWY0-1338,Biosynthesis,Cell Structure Biosynthesis,polymyxin resistance,
PWY0-1347,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,NADH to trimethylamine N-oxide electron transfer,
PWY0-1348,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,NADH to dimethyl sulfoxide electron transfer,
PWY0-1352,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrate reduction VIII (dissimilatory),
PWY0-1353,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,succinate to cytochrome bd oxidase electron transfer,
PWY0-1355,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,formate to trimethylamine N-oxide electron transfer,
PWY0-1356,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,formate to dimethyl sulfoxide electron transfer,
PWY0-1391,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,S-methyl-5'-thioadenosine degradation IV,
PWY0-1415,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",superpathway of heme biosynthesis from uroporphyrinogen-III,
PWY0-1433,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",tetrahydromonapterin biosynthesis,
PWY0-1465,Degradation/Utilization/Assimilation,Carboxylate Degradation,D-malate degradation,
PWY0-1466,Degradation/Utilization/Assimilation,Carbohydrate Degradation,trehalose degradation VI (periplasmic),
PWY0-1471,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation,uracil degradation III,
PWY0-1477,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,ethanolamine utilization,
PWY0-1479,Macromolecule Modification,Nucleic Acid Processing,tRNA processing,
PWY0-1507,Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",biotin biosynthesis from 8-amino-7-oxononanoate I,
PWY0-1517,Generation of Precursor Metabolites and Energy,Generation of Precursor Metabolites and Energy,sedoheptulose bisphosphate bypass,
PWY0-1527,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,curcumin degradation,
PWY0-1533,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,methylphosphonate degradation I,
PWY0-1535,Degradation/Utilization/Assimilation,Amino Acid Degradation,D-serine degradation,
PWY0-1544,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,proline to cytochrome bo oxidase electron transfer,
PWY0-1545,Biosynthesis,Fatty Acid and Lipid Biosynthesis,cardiolipin biosynthesis III,
PWY0-1546,Degradation/Utilization/Assimilation,Polymeric Compound Degradation,muropeptide degradation,
PWY0-1554,Macromolecule Modification,Nucleic Acid Processing,5-(carboxymethoxy)uridine biosynthesis,
PWY0-1561,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,glycerol-3-phosphate to cytochrome bo oxidase electron transfer,
PWY0-1565,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,D-lactate to cytochrome bo oxidase electron transport,
PWY0-1567,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,NADH to cytochrome bo oxidase electron transfer II,
PWY0-1568,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,NADH to cytochrome bd oxidase electron transport II,
PWY0-1569,Degradation/Utilization/Assimilation,Secondary Metabolite Degradation,autoinducer AI-2 degradation,
PWY0-1576,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,hydrogen to fumarate electron transfer,
PWY0-1577,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,hydrogen to dimethyl sulfoxide electron transfer,
PWY0-1578,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,hydrogen to trimethylamine N-oxide electron transfer,
PWY0-1581,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,nitrate reduction IX (dissimilatory),
PWY0-1582,Generation of Precursor Metabolites and Energy,Electron Transfer Chains,glycerol-3-phosphate to fumarate electron transfer,
PWY0-1584,Degradation/Utilization/Assimilation,Inorganic Nutrient Metabolism,"nitrate reduction X (periplasmic, dissimilatory)",
PWY0-1586,Biosynthesis,Cell Structure Biosynthesis,peptidoglycan maturation (meso-diaminopimelate containing),
PWY0-162,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,superpathway of pyrimidine ribonucleotides de novo biosynthesis,
PWY0-166,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),
PWY0-301,Degradation/Utilization/Assimilation,Carboxylate Degradation,"L-ascorbate degradation I (bacterial, anaerobic)",
PWY0-321,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,phenylacetate degradation I (aerobic),
PWY0-381,Degradation/Utilization/Assimilation,Alcohol Degradation,glycerol and glycerophosphodiester degradation,
PWY0-41,Degradation/Utilization/Assimilation,Amine and Polyamine Degradation,allantoin degradation IV (anaerobic),
PWY0-42,Degradation/Utilization/Assimilation,Carboxylate Degradation,2-methylcitrate cycle I,
